x1,x2,x3,x4,x5,x6,y
1997,1024.0,640.0,0.0,38.0,114.0,179.0
1998,1280.0,640.0,1.0,38.0,114.0,179.0
2000,640.0,0.0,0.0,45.0,45.0,179.0
1999,1152.0,640.0,0.0,35.0,35.0,269.0
1999,1152.0,640.0,0.0,43.0,43.0,1299.0
2001,1600.0,640.0,1.0,51.0,51.0,179.0
1999,1280.0,640.0,1.0,34.0,102.0,179.0
1997,640.0,0.0,0.0,42.0,42.0,149.0
1996,832.0,640.0,0.0,50.0,50.0,139.0
2001,1280.0,1024.0,1.0,35.0,105.0,139.0

